Event_code,PMU,Name,Equiv,Desc
"""cpu/config=0x530145,umask=0x01,name=UNIFIED_TLB_HIT:4K_DATA/""",amd64_fam15h_interlagos (AMD64 Fam15h Interlagos),UNIFIED_TLB_HIT:4K_DATA,None,Unified TLB Hit : 4 KB unified TLB hit for data
"""cpu/config=0x530245,umask=0x02,name=UNIFIED_TLB_HIT:2M_DATA/""",amd64_fam15h_interlagos (AMD64 Fam15h Interlagos),UNIFIED_TLB_HIT:2M_DATA,None,Unified TLB Hit : 2 MB unified TLB hit for data
"""cpu/config=0x530445,umask=0x04,name=UNIFIED_TLB_HIT:1G_DATA/""",amd64_fam15h_interlagos (AMD64 Fam15h Interlagos),UNIFIED_TLB_HIT:1G_DATA,None,Unified TLB Hit : 1 GB unified TLB hit for data
"""cpu/config=0x531045,umask=0x10,name=UNIFIED_TLB_HIT:4K_INST/""",amd64_fam15h_interlagos (AMD64 Fam15h Interlagos),UNIFIED_TLB_HIT:4K_INST,None,Unified TLB Hit : 4 KB unified TLB hit for instruction
"""cpu/config=0x532045,umask=0x20,name=UNIFIED_TLB_HIT:2M_INST/""",amd64_fam15h_interlagos (AMD64 Fam15h Interlagos),UNIFIED_TLB_HIT:2M_INST,None,Unified TLB Hit : 2 MB unified TLB hit for instruction
"""cpu/config=0x534045,umask=0x40,name=UNIFIED_TLB_HIT:1G_INST/""",amd64_fam15h_interlagos (AMD64 Fam15h Interlagos),UNIFIED_TLB_HIT:1G_INST,None,Unified TLB Hit : 1 GB unified TLB hit for instruction
"""cpu/config=0x537745,umask=0x77,name=UNIFIED_TLB_HIT:ALL/""",amd64_fam15h_interlagos (AMD64 Fam15h Interlagos),UNIFIED_TLB_HIT:ALL,None,Unified TLB Hit : All sub-events selected
"""cpu/config=0x530146,umask=0x01,name=UNIFIED_TLB_MISS:4K_DATA/""",amd64_fam15h_interlagos (AMD64 Fam15h Interlagos),UNIFIED_TLB_MISS:4K_DATA,None,Unified TLB Miss : 4 KB unified TLB miss for data
"""cpu/config=0x530246,umask=0x02,name=UNIFIED_TLB_MISS:2M_DATA/""",amd64_fam15h_interlagos (AMD64 Fam15h Interlagos),UNIFIED_TLB_MISS:2M_DATA,None,Unified TLB Miss : 2 MB unified TLB miss for data
"""cpu/config=0x530446,umask=0x04,name=UNIFIED_TLB_MISS:1GB_DATA/""",amd64_fam15h_interlagos (AMD64 Fam15h Interlagos),UNIFIED_TLB_MISS:1GB_DATA,None,Unified TLB Miss : 1 GB unified TLB miss for data
"""cpu/config=0x531046,umask=0x10,name=UNIFIED_TLB_MISS:4K_INST/""",amd64_fam15h_interlagos (AMD64 Fam15h Interlagos),UNIFIED_TLB_MISS:4K_INST,None,Unified TLB Miss : 4 KB unified TLB miss for instruction
"""cpu/config=0x532046,umask=0x20,name=UNIFIED_TLB_MISS:2M_INST/""",amd64_fam15h_interlagos (AMD64 Fam15h Interlagos),UNIFIED_TLB_MISS:2M_INST,None,Unified TLB Miss : 2 MB unified TLB miss for instruction
"""cpu/config=0x534046,umask=0x40,name=UNIFIED_TLB_MISS:1G_INST/""",amd64_fam15h_interlagos (AMD64 Fam15h Interlagos),UNIFIED_TLB_MISS:1G_INST,None,Unified TLB Miss : 1 GB unified TLB miss for instruction
"""cpu/config=0x537746,umask=0x77,name=UNIFIED_TLB_MISS:ALL/""",amd64_fam15h_interlagos (AMD64 Fam15h Interlagos),UNIFIED_TLB_MISS:ALL,None,Unified TLB Miss : All sub-events selected
"""cpu/config=0x530152,umask=0x01,name=INEFFECTIVE_SW_PREFETCHES:SW_PREFETCH_HIT_IN_L1/""",amd64_fam15h_interlagos (AMD64 Fam15h Interlagos),INEFFECTIVE_SW_PREFETCHES:SW_PREFETCH_HIT_IN_L1,None,Ineffective Software Prefetches : Software prefetch hit in the L1
"""cpu/config=0x530852,umask=0x08,name=INEFFECTIVE_SW_PREFETCHES:SW_PREFETCH_HIT_IN_L2/""",amd64_fam15h_interlagos (AMD64 Fam15h Interlagos),INEFFECTIVE_SW_PREFETCHES:SW_PREFETCH_HIT_IN_L2,None,Ineffective Software Prefetches : Software prefetch hit in the L2
"""cpu/config=0x530952,umask=0x09,name=INEFFECTIVE_SW_PREFETCHES:ALL/""",amd64_fam15h_interlagos (AMD64 Fam15h Interlagos),INEFFECTIVE_SW_PREFETCHES:ALL,None,Ineffective Software Prefetches : All sub-events selected
"""cpu/config=0x53016c,umask=0x01,name=SYSTEM_READ_RESPONSES:EXCLUSIVE/""",amd64_fam15h_interlagos (AMD64 Fam15h Interlagos),SYSTEM_READ_RESPONSES:EXCLUSIVE,None,Response From System on Cache Refills : Exclusive
"""cpu/config=0x53026c,umask=0x02,name=SYSTEM_READ_RESPONSES:MODIFIED/""",amd64_fam15h_interlagos (AMD64 Fam15h Interlagos),SYSTEM_READ_RESPONSES:MODIFIED,None,"Response From System on Cache Refills : Modified (D18F0x68[ATMModeEn]==0), Modified written (D18F0x68[ATMModeEn]==1)"
"""cpu/config=0x53046c,umask=0x04,name=SYSTEM_READ_RESPONSES:SHARED/""",amd64_fam15h_interlagos (AMD64 Fam15h Interlagos),SYSTEM_READ_RESPONSES:SHARED,None,Response From System on Cache Refills : Shared
