Event_code,PMU,Name,Equiv,Desc
"""cpu/config=0x5301ae,name=ITLB:ITLB_FLUSH/""",hsw_ep (Intel Haswell EP),ITLB:ITLB_FLUSH,None,Instruction TLB : Flushing of the Instruction TLB (ITLB) pages independent of page size
"""cpu/config=0x5311d0,name=MEM_UOPS_RETIRED:STLB_MISS_LOADS/""",hsw_ep (Intel Haswell EP),MEM_UOPS_RETIRED:STLB_MISS_LOADS,None,Memory uops retired (Precise Event) : Load uops with true STLB miss retired to architected path
"""cpu/config=0x5312d0,name=MEM_UOPS_RETIRED:STLB_MISS_STORES/""",hsw_ep (Intel Haswell EP),MEM_UOPS_RETIRED:STLB_MISS_STORES,None,Memory uops retired (Precise Event) : Store uops with true STLB miss retired to architected path
"""cpu/config=0x5321d0,name=MEM_UOPS_RETIRED:LOCK_LOADS/""",hsw_ep (Intel Haswell EP),MEM_UOPS_RETIRED:LOCK_LOADS,None,Memory uops retired (Precise Event) : Load uops with locked access retired
"""cpu/config=0x5341d0,name=MEM_UOPS_RETIRED:SPLIT_LOADS/""",hsw_ep (Intel Haswell EP),MEM_UOPS_RETIRED:SPLIT_LOADS,None,Memory uops retired (Precise Event) : Line-splitted load uops retired
"""cpu/config=0x5342d0,name=MEM_UOPS_RETIRED:SPLIT_STORES/""",hsw_ep (Intel Haswell EP),MEM_UOPS_RETIRED:SPLIT_STORES,None,Memory uops retired (Precise Event) : Line-splitted store uops retired
"""cpu/config=0x5381d0,name=MEM_UOPS_RETIRED:ALL_LOADS/""",hsw_ep (Intel Haswell EP),MEM_UOPS_RETIRED:ALL_LOADS,None,Memory uops retired (Precise Event) : All load uops retired
"""cpu/config=0x5382d0,name=MEM_UOPS_RETIRED:ALL_STORES/""",hsw_ep (Intel Haswell EP),MEM_UOPS_RETIRED:ALL_STORES,None,Memory uops retired (Precise Event) : All store uops retired
"""cpu/config=0x5301bd,name=TLB_FLUSH:DTLB_THREAD/""",hsw_ep (Intel Haswell EP),TLB_FLUSH:DTLB_THREAD,None,TLB flushes : Count number of DTLB flushes of thread-specific entries
"""cpu/config=0x5320bd,name=TLB_FLUSH:STLB_ANY/""",hsw_ep (Intel Haswell EP),TLB_FLUSH:STLB_ANY,None,TLB flushes : Count number of any STLB flushes
"""cpu/config=0x1530860,name=OFFCORE_REQUESTS_OUTSTANDING:ALL_DATA_RD_CYCLES/""",hsw_ep (Intel Haswell EP),OFFCORE_REQUESTS_OUTSTANDING:ALL_DATA_RD_CYCLES,None,Outstanding offcore requests : Alias to ALL_DATA_RD:c=1
"""cpu/config=0x1530260,name=OFFCORE_REQUESTS_OUTSTANDING:DEMAND_CODE_RD_CYCLES/""",hsw_ep (Intel Haswell EP),OFFCORE_REQUESTS_OUTSTANDING:DEMAND_CODE_RD_CYCLES,None,Outstanding offcore requests : Alias to DEMAND_CODE_RD:c=1
"""cpu/config=0x1530160,name=OFFCORE_REQUESTS_OUTSTANDING:DEMAND_DATA_RD_CYCLES/""",hsw_ep (Intel Haswell EP),OFFCORE_REQUESTS_OUTSTANDING:DEMAND_DATA_RD_CYCLES,None,Outstanding offcore requests : Alias to DEMAND_DATA_RD:c=1
"""cpu/config=0x530860,name=OFFCORE_REQUESTS_OUTSTANDING:ALL_DATA_RD/""",hsw_ep (Intel Haswell EP),OFFCORE_REQUESTS_OUTSTANDING:ALL_DATA_RD,None,Outstanding offcore requests : Cacheable data read transactions in the superQ every cycle (use with HT off only)
"""cpu/config=0x530260,name=OFFCORE_REQUESTS_OUTSTANDING:DEMAND_CODE_RD/""",hsw_ep (Intel Haswell EP),OFFCORE_REQUESTS_OUTSTANDING:DEMAND_CODE_RD,None,Outstanding offcore requests : Code read transactions in the superQ every cycle (use with HT off only)
"""cpu/config=0x530160,name=OFFCORE_REQUESTS_OUTSTANDING:DEMAND_DATA_RD/""",hsw_ep (Intel Haswell EP),OFFCORE_REQUESTS_OUTSTANDING:DEMAND_DATA_RD,None,Outstanding offcore requests : Demand data read transactions in the superQ every cycle (use with HT off only)
"""cpu/config=0x6530160,name=OFFCORE_REQUESTS_OUTSTANDING:DEMAND_DATA_RD_GE_6/""",hsw_ep (Intel Haswell EP),OFFCORE_REQUESTS_OUTSTANDING:DEMAND_DATA_RD_GE_6,None,Outstanding offcore requests : Alias to DEMAND_DATA_RD:c=6
"""cpu/config=0x530460,name=OFFCORE_REQUESTS_OUTSTANDING:DEMAND_RFO/""",hsw_ep (Intel Haswell EP),OFFCORE_REQUESTS_OUTSTANDING:DEMAND_RFO,None,Outstanding offcore requests : Outstanding RFO (store) transactions in the superQ every cycle (use with HT off only)
"""cpu/config=0x1530460,name=OFFCORE_REQUESTS_OUTSTANDING:DEMAND_RFO_CYCLES/""",hsw_ep (Intel Haswell EP),OFFCORE_REQUESTS_OUTSTANDING:DEMAND_RFO_CYCLES,None,Outstanding offcore requests : Alias to DEMAND_RFO:c=1
"""uncore_cbox_0/config=0x334,config1=0xfe0000,name=UNC_C_LLC_LOOKUP:DATA_READ/""",hswep_unc_cbo0 (Intel Haswell-EP C-Box 0 uncore),UNC_C_LLC_LOOKUP:DATA_READ,None,Cache lookups : Data read requests
"""uncore_cbox_0/config=0x534,config1=0xfe0000,name=UNC_C_LLC_LOOKUP:WRITE/""",hswep_unc_cbo0 (Intel Haswell-EP C-Box 0 uncore),UNC_C_LLC_LOOKUP:WRITE,None,"Cache lookups : Write requests. Includes all write transactions (cached, uncached)"
"""uncore_cbox_0/config=0x934,config1=0xfe0000,name=UNC_C_LLC_LOOKUP:REMOTE_SNOOP/""",hswep_unc_cbo0 (Intel Haswell-EP C-Box 0 uncore),UNC_C_LLC_LOOKUP:REMOTE_SNOOP,None,Cache lookups : External snoop request
"""uncore_cbox_0/config=0x1134,config1=0xfe0000,name=UNC_C_LLC_LOOKUP:ANY/""",hswep_unc_cbo0 (Intel Haswell-EP C-Box 0 uncore),UNC_C_LLC_LOOKUP:ANY,None,Cache lookups : Any request
"""uncore_cbox_0/config=0x1134,config1=0x20000,name=UNC_C_LLC_LOOKUP:STATE_I/""",hswep_unc_cbo0 (Intel Haswell-EP C-Box 0 uncore),UNC_C_LLC_LOOKUP:STATE_I,None,Cache lookups : Invalid cacheline state
"""uncore_cbox_0/config=0x1134,config1=0x40000,name=UNC_C_LLC_LOOKUP:STATE_S/""",hswep_unc_cbo0 (Intel Haswell-EP C-Box 0 uncore),UNC_C_LLC_LOOKUP:STATE_S,None,Cache lookups : Shared cacheline state
"""uncore_cbox_0/config=0x1134,config1=0x80000,name=UNC_C_LLC_LOOKUP:STATE_E/""",hswep_unc_cbo0 (Intel Haswell-EP C-Box 0 uncore),UNC_C_LLC_LOOKUP:STATE_E,None,Cache lookups : Exclusive cacheline state
"""uncore_cbox_0/config=0x1134,config1=0x100000,name=UNC_C_LLC_LOOKUP:STATE_M/""",hswep_unc_cbo0 (Intel Haswell-EP C-Box 0 uncore),UNC_C_LLC_LOOKUP:STATE_M,None,Cache lookups : Modified cacheline state
"""uncore_cbox_0/config=0x1134,config1=0x200000,name=UNC_C_LLC_LOOKUP:STATE_F/""",hswep_unc_cbo0 (Intel Haswell-EP C-Box 0 uncore),UNC_C_LLC_LOOKUP:STATE_F,None,Cache lookups : Forward cacheline state
"""uncore_cbox_0/config=0x1134,config1=0x400000,name=UNC_C_LLC_LOOKUP:STATE_D/""",hswep_unc_cbo0 (Intel Haswell-EP C-Box 0 uncore),UNC_C_LLC_LOOKUP:STATE_D,None,Cache lookups : Debug cacheline state
"""uncore_cbox_0/config=0x1134,config1=0x800000,name=UNC_C_LLC_LOOKUP:STATE_MP/""",hswep_unc_cbo0 (Intel Haswell-EP C-Box 0 uncore),UNC_C_LLC_LOOKUP:STATE_MP,None,"Cache lookups : Cacheline is modified but never written, was forwarded in modified state"
"""uncore_cbox_0/config=0x1134,config1=0xfe0000,name=UNC_C_LLC_LOOKUP:STATE_MESIFD/""",hswep_unc_cbo0 (Intel Haswell-EP C-Box 0 uncore),UNC_C_LLC_LOOKUP:STATE_MESIFD,None,Cache lookups : Any cache line state
"""uncore_cbox_0/config=0x137,name=UNC_C_LLC_VICTIMS:STATE_M/""",hswep_unc_cbo0 (Intel Haswell-EP C-Box 0 uncore),UNC_C_LLC_VICTIMS:STATE_M,None,Lines victimized : Lines in M state
"""uncore_cbox_0/config=0x237,name=UNC_C_LLC_VICTIMS:STATE_E/""",hswep_unc_cbo0 (Intel Haswell-EP C-Box 0 uncore),UNC_C_LLC_VICTIMS:STATE_E,None,Lines victimized : Lines in E state
"""uncore_cbox_0/config=0x437,name=UNC_C_LLC_VICTIMS:STATE_S/""",hswep_unc_cbo0 (Intel Haswell-EP C-Box 0 uncore),UNC_C_LLC_VICTIMS:STATE_S,None,Lines victimized : Lines in S state
"""uncore_cbox_0/config=0x837,name=UNC_C_LLC_VICTIMS:STATE_F/""",hswep_unc_cbo0 (Intel Haswell-EP C-Box 0 uncore),UNC_C_LLC_VICTIMS:STATE_F,None,Lines victimized : Lines in F state
"""uncore_cbox_0/config=0x1037,name=UNC_C_LLC_VICTIMS:MISS/""",hswep_unc_cbo0 (Intel Haswell-EP C-Box 0 uncore),UNC_C_LLC_VICTIMS:MISS,None,Lines victimized : TBD
